CATEGORY,DIVISION,PROGRAM,NAME,SERIES,NAICS_SIC,HISTORIC,OVERVIEW,DEFINITIONS,POPULAR,ID_EXAMPLE
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Census of Fatal Occupational Injuries (1992 - 2002),N,1,http://download.bls.gov/pub/time.series/CF/CF.txt,http://download.bls.gov/pub/time.series/CF,http://data.bls.gov/cgi-bin/surveymost?CF,CFU00000080
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Census of Fatal Occupational Injuries (2003 - 2010),N,1,http://download.bls.gov/pub/time.series/FI/FI.txt,http://download.bls.gov/pub/time.series/FI,http://data.bls.gov/cgi-bin/surveymost?FI,FIU00X00000080N00
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Census of Fatal Occupational Injuries (2011 forward),N,0,http://download.bls.gov/pub/time.series/FW/FW.txt,http://download.bls.gov/pub/time.series/FW,http://data.bls.gov/cgi-bin/surveymost?FW,FWU00X00000080N00
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Nonfatal cases involving days away from work (1992 - 2001),N,1,http://download.bls.gov/pub/time.series/CD/CD.txt,http://download.bls.gov/pub/time.series/CD,http://data.bls.gov/cgi-bin/surveymost?CD,CDUDMM10073
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Nonfatal cases involving days away from work (2002),N,1,http://download.bls.gov/pub/time.series/HC/HC.txt,http://download.bls.gov/pub/time.series/HC,http://data.bls.gov/cgi-bin/surveymost?HC,HCU0012123N
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Nonfatal cases involving days away from work (2003 - 2010),N,1,http://download.bls.gov/pub/time.series/CH/CH.txt,http://download.bls.gov/pub/time.series/CH,http://data.bls.gov/cgi-bin/surveymost?CH,CHUSDX031XXX6E000
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Nonfatal cases involving days away from work (2011 forward),N,0,http://download.bls.gov/pub/time.series/CS/CS.txt,http://download.bls.gov/pub/time.series/CS,http://data.bls.gov/cgi-bin/surveymost?CS,CSU00X00000063000
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Occupational injuries and Illnesses - Industry Data (1989 - 2001),N,1,http://download.bls.gov/pub/time.series/SH/SH.txt,http://download.bls.gov/pub/time.series/SH,http://data.bls.gov/cgi-bin/surveymost?SH,SHU00000034
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Occupational injuries and Illnesses - Industry Data (2002),N,1,http://download.bls.gov/pub/time.series/SI/SI.txt,http://download.bls.gov/pub/time.series/SI,http://data.bls.gov/cgi-bin/surveymost?SI,SIU00000001
Workplace Injuries,OCWC,IIF,"Injuries, Illnesses, & Fatalities",Occupational Injuries and Illnesses - Industry Data (2003 - 2013),N,1,http://download.bls.gov/pub/time.series/II/II.txt,http://download.bls.gov/pub/time.series/II,http://data.bls.gov/cgi-bin/surveymost?II,IIU00X00000060N00
