Year,UHF_Code,Mortality
2014,101,0
2014,102,8
2014,103,18
2014,104,16
2014,105,26
2014,106,25
2014,107,12
2014,201,0
2014,202,5
2014,203,35
2014,204,16
2014,205,0
2014,206,0
2014,207,15
2014,208,10
2014,209,0
2014,210,10
2014,211,16
2014,301,9
2014,302,5
2014,303,8
2014,304,0
2014,305,0
2014,306,0
2014,307,0
2014,308,0
2014,309,0
2014,310,0
2014,401,0
2014,402,11
2014,403,6
2014,404,0
2014,405,0
2014,406,0
2014,407,5
2014,408,20
2014,409,10
2014,410,7
2014,501,6
2014,502,8
2014,503,0
2014,504,0
2013,101,0
2013,102,11
2013,103,14
2013,104,14
2013,105,14
2013,106,11
2013,107,13
2013,201,0
2013,202,8
2013,203,33
2013,204,12
2013,205,8
2013,206,6
2013,207,21
2013,208,9
2013,209,0
2013,210,11
2013,211,24
2013,301,6
2013,302,10
2013,303,8
2013,304,0
2013,305,0
2013,306,0
2013,307,0
2013,308,0
2013,309,0
2013,310,0
2013,401,0
2013,402,10
2013,403,0
2013,404,0
2013,405,5
2013,406,0
2013,407,11
2013,408,16
2013,409,0
2013,410,8
2013,501,0
2013,502,0
2013,503,0
2013,504,0
2012,101,6
2012,102,12
2012,103,18
2012,104,16
2012,105,24
2012,106,22
2012,107,16
2012,201,0
2012,202,0
2012,203,34
2012,204,21
2012,205,0
2012,206,5
2012,207,23
2012,208,12
2012,209,0
2012,210,10
2012,211,20
2012,301,11
2012,302,17
2012,303,8
2012,304,8
2012,305,0
2012,306,0
2012,307,0
2012,308,0
2012,309,0
2012,310,0
2012,401,6
2012,402,16
2012,403,0
2012,404,0
2012,405,0
2012,406,0
2012,407,7
2012,408,26
2012,409,9
2012,410,9
2012,501,5
2012,502,0
2012,503,0
2012,504,0
2011,101,0
2011,102,19
2011,103,23
2011,104,20
2011,105,25
2011,106,28
2011,107,22
2011,201,5
2011,202,10
2011,203,49
2011,204,26
2011,205,0
2011,206,10
2011,207,25
2011,208,13
2011,209,0
2011,210,19
2011,211,27
2011,301,14
2011,302,19
2011,303,14
2011,304,0
2011,305,0
2011,306,0
2011,307,0
2011,308,0
2011,309,6
2011,310,0
2011,401,0
2011,402,17
2011,403,7
2011,404,0
2011,405,0
2011,406,0
2011,407,8
2011,408,25
2011,409,10
2011,410,9
2011,501,0
2011,502,8
2011,503,0
2011,504,0
2010,101,0
2010,102,14
2010,103,29
2010,104,18
2010,105,19
2010,106,27
2010,107,24
2010,201,0
2010,202,12
2010,203,62
2010,204,36
2010,205,5
2010,206,0
2010,207,29
2010,208,13
2010,209,7
2010,210,15
2010,211,30
2010,301,12
2010,302,13
2010,303,12
2010,304,0
2010,305,0
2010,306,0
2010,307,0
2010,308,0
2010,309,5
2010,310,0
2010,401,0
2010,402,12
2010,403,7
2010,404,0
2010,405,6
2010,406,0
2010,407,8
2010,408,36
2010,409,14
2010,410,8
2010,501,6
2010,502,5
2010,503,0
2010,504,7
2009,101,0
2009,102,20
2009,103,21
2009,104,12
2009,105,22
2009,106,17
2009,107,16
2009,201,0
2009,202,12
2009,203,50
2009,204,37
2009,205,8
2009,206,7
2009,207,31
2009,208,10
2009,209,10
2009,210,15
2009,211,20
2009,301,6
2009,302,17
2009,303,10
2009,304,7
2009,305,0
2009,306,0
2009,307,0
2009,308,0
2009,309,10
2009,310,0
2009,401,0
2009,402,15
2009,403,0
2009,404,0
2009,405,5
2009,406,0
2009,407,8
2009,408,19
2009,409,13
2009,410,7
2009,501,6
2009,502,8
2009,503,0
2009,504,0
2008,101,0
2008,102,17
2008,103,23
2008,104,17
2008,105,24
2008,106,35
2008,107,15
2008,201,0
2008,202,10
2008,203,61
2008,204,18
2008,205,0
2008,206,6
2008,207,34
2008,208,22
2008,209,6
2008,210,13
2008,211,28
2008,301,6
2008,302,19
2008,303,15
2008,304,6
2008,305,0
2008,306,0
2008,307,0
2008,308,0
2008,309,7
2008,310,0
2008,401,6
2008,402,11
2008,403,5
2008,404,0
2008,405,10
2008,406,0
2008,407,12
2008,408,24
2008,409,13
2008,410,14
2008,501,0
2008,502,11
2008,503,5
2008,504,0
2007,101,0
2007,102,18
2007,103,24
2007,104,14
2007,105,21
2007,106,25
2007,107,24
2007,201,0
2007,202,11
2007,203,72
2007,204,34
2007,205,0
2007,206,0
2007,207,31
2007,208,18
2007,209,5
2007,210,8
2007,211,19
2007,301,8
2007,302,15
2007,303,9
2007,304,0
2007,305,0
2007,306,0
2007,307,0
2007,308,0
2007,309,5
2007,310,0
2007,401,0
2007,402,13
2007,403,8
2007,404,0
2007,405,7
2007,406,0
2007,407,8
2007,408,16
2007,409,12
2007,410,8
2007,501,5
2007,502,7
2007,503,0
2007,504,0
2006,101,0
2006,102,15
2006,103,27
2006,104,24
2006,105,31
2006,106,29
2006,107,29
2006,201,0
2006,202,16
2006,203,73
2006,204,29
2006,205,0
2006,206,7
2006,207,30
2006,208,16
2006,209,7
2006,210,9
2006,211,26
2006,301,23
2006,302,25
2006,303,17
2006,304,0
2006,305,0
2006,306,0
2006,307,0
2006,308,0
2006,309,5
2006,310,0
2006,401,8
2006,402,10
2006,403,8
2006,404,0
2006,405,0
2006,406,0
2006,407,7
2006,408,20
2006,409,13
2006,410,16
2006,501,11
2006,502,9
2006,503,0
2006,504,0
2005,101,0
2005,102,16
2005,103,29
2005,104,23
2005,105,26
2005,106,22
2005,107,17
2005,201,0
2005,202,11
2005,203,59
2005,204,24
2005,205,6
2005,206,7
2005,207,40
2005,208,12
2005,209,0
2005,210,14
2005,211,27
2005,301,22
2005,302,18
2005,303,12
2005,304,0
2005,305,5
2005,306,0
2005,307,0
2005,308,0
2005,309,12
2005,310,0
2005,401,9
2005,402,18
2005,403,6
2005,404,0
2005,405,0
2005,406,0
2005,407,14
2005,408,23
2005,409,8
2005,410,9
2005,501,8
2005,502,7
2005,503,0
2005,504,0
2004,101,0
2004,102,23
2004,103,22
2004,104,20
2004,105,28
2004,106,27
2004,107,9
2004,201,0
2004,202,8
2004,203,67
2004,204,24
2004,205,9
2004,206,7
2004,207,36
2004,208,18
2004,209,6
2004,210,14
2004,211,33
2004,301,14
2004,302,22
2004,303,14
2004,304,0
2004,305,0
2004,306,0
2004,307,0
2004,308,0
2004,309,5
2004,310,0
2004,401,9
2004,402,14
2004,403,11
2004,404,0
2004,405,10
2004,406,0
2004,407,13
2004,408,28
2004,409,10
2004,410,10
2004,501,0
2004,502,0
2004,503,0
2004,504,0
2003,101,0
2003,102,22
2003,103,27
2003,104,17
2003,105,19
2003,106,36
2003,107,20
2003,201,0
2003,202,10
2003,203,54
2003,204,26
2003,205,0
2003,206,11
2003,207,51
2003,208,23
2003,209,0
2003,210,20
2003,211,27
2003,301,19
2003,302,22
2003,303,14
2003,304,5
2003,305,0
2003,306,0
2003,307,0
2003,308,0
2003,309,9
2003,310,0
2003,401,9
2003,402,27
2003,403,8
2003,404,0
2003,405,0
2003,406,0
2003,407,8
2003,408,40
2003,409,17
2003,410,15
2003,501,0
2003,502,7
2003,503,0
2003,504,0
2002,101,6
2002,102,21
2002,103,29
2002,104,33
2002,105,23
2002,106,25
2002,107,20
2002,201,6
2002,202,15
2002,203,49
2002,204,20
2002,205,0
2002,206,11
2002,207,45
2002,208,23
2002,209,0
2002,210,11
2002,211,28
2002,301,23
2002,302,18
2002,303,16
2002,304,0
2002,305,0
2002,306,0
2002,307,0
2002,308,0
2002,309,7
2002,310,0
2002,401,9
2002,402,22
2002,403,5
2002,404,0
2002,405,0
2002,406,0
2002,407,10
2002,408,23
2002,409,16
2002,410,7
2002,501,5
2002,502,7
2002,503,0
2002,504,0
2001,101,0
2001,102,21
2001,103,37
2001,104,28
2001,105,26
2001,106,42
2001,107,29
2001,201,0
2001,202,19
2001,203,67
2001,204,28
2001,205,6
2001,206,10
2001,207,41
2001,208,20
2001,209,0
2001,210,12
2001,211,34
2001,301,23
2001,302,29
2001,303,16
2001,304,0
2001,305,0
2001,306,0
2001,307,0
2001,308,0
2001,309,9
2001,310,0
2001,401,7
2001,402,19
2001,403,5
2001,404,0
2001,405,0
2001,406,0
2001,407,15
2001,408,20
2001,409,7
2001,410,9
2001,501,0
2001,502,10
2001,503,0
2001,504,0
2000,101,0
2000,102,21
2000,103,53
2000,104,21
2000,105,35
2000,106,34
2000,107,18
2000,201,7
2000,202,15
2000,203,58
2000,204,25
2000,205,0
2000,206,10
2000,207,47
2000,208,23
2000,209,0
2000,210,14
2000,211,31
2000,301,37
2000,302,26
2000,303,8
2000,304,9
2000,305,0
2000,306,0
2000,307,5
2000,308,0
2000,309,5
2000,310,0
2000,401,8
2000,402,11
2000,403,10
2000,404,0
2000,405,8
2000,406,0
2000,407,18
2000,408,25
2000,409,17
2000,410,11
2000,501,7
2000,502,11
2000,503,0
2000,504,0
