State_Code,County_Code,State,Abbreviation,County
0,0,United States,US,United States
1,0,Alabama,AL,Alabama
1,1,Alabama,AL,Autauga County
1,3,Alabama,AL,Baldwin County
1,5,Alabama,AL,Barbour County
1,7,Alabama,AL,Bibb County
1,9,Alabama,AL,Blount County
1,11,Alabama,AL,Bullock County
1,13,Alabama,AL,Butler County
1,15,Alabama,AL,Calhoun County
1,17,Alabama,AL,Chambers County
1,19,Alabama,AL,Cherokee County
1,21,Alabama,AL,Chilton County
1,23,Alabama,AL,Choctaw County
1,25,Alabama,AL,Clarke County
1,27,Alabama,AL,Clay County
1,29,Alabama,AL,Cleburne County
1,31,Alabama,AL,Coffee County
1,33,Alabama,AL,Colbert County
1,35,Alabama,AL,Conecuh County
1,37,Alabama,AL,Coosa County
1,39,Alabama,AL,Covington County
1,41,Alabama,AL,Crenshaw County
1,43,Alabama,AL,Cullman County
1,45,Alabama,AL,Dale County
1,47,Alabama,AL,Dallas County
1,49,Alabama,AL,DeKalb County
1,51,Alabama,AL,Elmore County
1,53,Alabama,AL,Escambia County
1,55,Alabama,AL,Etowah County
1,57,Alabama,AL,Fayette County
1,59,Alabama,AL,Franklin County
1,61,Alabama,AL,Geneva County
1,63,Alabama,AL,Greene County
1,65,Alabama,AL,Hale County
1,67,Alabama,AL,Henry County
1,69,Alabama,AL,Houston County
1,71,Alabama,AL,Jackson County
1,73,Alabama,AL,Jefferson County
1,75,Alabama,AL,Lamar County
1,77,Alabama,AL,Lauderdale County
1,79,Alabama,AL,Lawrence County
1,81,Alabama,AL,Lee County
1,83,Alabama,AL,Limestone County
1,85,Alabama,AL,Lowndes County
1,87,Alabama,AL,Macon County
1,89,Alabama,AL,Madison County
1,91,Alabama,AL,Marengo County
1,93,Alabama,AL,Marion County
1,95,Alabama,AL,Marshall County
1,97,Alabama,AL,Mobile County
1,99,Alabama,AL,Monroe County
1,101,Alabama,AL,Montgomery County
1,103,Alabama,AL,Morgan County
1,105,Alabama,AL,Perry County
1,107,Alabama,AL,Pickens County
1,109,Alabama,AL,Pike County
1,111,Alabama,AL,Randolph County
1,113,Alabama,AL,Russell County
1,115,Alabama,AL,St. Clair County
1,117,Alabama,AL,Shelby County
1,119,Alabama,AL,Sumter County
1,121,Alabama,AL,Talladega County
1,123,Alabama,AL,Tallapoosa County
1,125,Alabama,AL,Tuscaloosa County
1,127,Alabama,AL,Walker County
1,129,Alabama,AL,Washington County
1,131,Alabama,AL,Wilcox County
1,133,Alabama,AL,Winston County
2,0,Alaska,AK,Alaska
2,13,Alaska,AK,Aleutians East Borough
2,16,Alaska,AK,Aleutians West Census Area
2,20,Alaska,AK,Anchorage Municipality
2,50,Alaska,AK,Bethel Census Area
2,60,Alaska,AK,Bristol Bay Borough
2,68,Alaska,AK,Denali Borough
2,70,Alaska,AK,Dillingham Census Area
2,90,Alaska,AK,Fairbanks North Star Borough
2,100,Alaska,AK,Haines Borough
2,105,Alaska,AK,Hoonah-Angoon Census Area
2,110,Alaska,AK,Juneau City and Borough
2,122,Alaska,AK,Kenai Peninsula Borough
2,130,Alaska,AK,Ketchikan Gateway Borough
2,150,Alaska,AK,Kodiak Island Borough
2,158,Alaska,AK,Kusilvak Census Area
2,164,Alaska,AK,Lake and Peninsula Borough
2,170,Alaska,AK,Matanuska-Susitna Borough
2,180,Alaska,AK,Nome Census Area
2,185,Alaska,AK,North Slope Borough
2,188,Alaska,AK,Northwest Arctic Borough
2,195,Alaska,AK,Petersburg Borough
2,198,Alaska,AK,Prince of Wales-Hyder Census Area
2,220,Alaska,AK,Sitka City and Borough
2,230,Alaska,AK,Skagway Municipality
2,240,Alaska,AK,Southeast Fairbanks Census Area
2,261,Alaska,AK,Valdez-Cordova Census Area
2,275,Alaska,AK,Wrangell City and Borough
2,282,Alaska,AK,Yakutat City and Borough
2,290,Alaska,AK,Yukon-Koyukuk Census Area
4,0,Arizona,AZ,Arizona
4,1,Arizona,AZ,Apache County
4,3,Arizona,AZ,Cochise County
4,5,Arizona,AZ,Coconino County
4,7,Arizona,AZ,Gila County
4,9,Arizona,AZ,Graham County
4,11,Arizona,AZ,Greenlee County
4,12,Arizona,AZ,La Paz County
4,13,Arizona,AZ,Maricopa County
4,15,Arizona,AZ,Mohave County
4,17,Arizona,AZ,Navajo County
4,19,Arizona,AZ,Pima County
4,21,Arizona,AZ,Pinal County
4,23,Arizona,AZ,Santa Cruz County
4,25,Arizona,AZ,Yavapai County
4,27,Arizona,AZ,Yuma County
5,0,Arkansas,AR,Arkansas
5,1,Arkansas,AR,Arkansas County
5,3,Arkansas,AR,Ashley County
5,5,Arkansas,AR,Baxter County
5,7,Arkansas,AR,Benton County
5,9,Arkansas,AR,Boone County
5,11,Arkansas,AR,Bradley County
5,13,Arkansas,AR,Calhoun County
5,15,Arkansas,AR,Carroll County
5,17,Arkansas,AR,Chicot County
5,19,Arkansas,AR,Clark County
5,21,Arkansas,AR,Clay County
5,23,Arkansas,AR,Cleburne County
5,25,Arkansas,AR,Cleveland County
5,27,Arkansas,AR,Columbia County
5,29,Arkansas,AR,Conway County
5,31,Arkansas,AR,Craighead County
5,33,Arkansas,AR,Crawford County
5,35,Arkansas,AR,Crittenden County
5,37,Arkansas,AR,Cross County
5,39,Arkansas,AR,Dallas County
5,41,Arkansas,AR,Desha County
5,43,Arkansas,AR,Drew County
5,45,Arkansas,AR,Faulkner County
5,47,Arkansas,AR,Franklin County
5,49,Arkansas,AR,Fulton County
5,51,Arkansas,AR,Garland County
5,53,Arkansas,AR,Grant County
5,55,Arkansas,AR,Greene County
5,57,Arkansas,AR,Hempstead County
5,59,Arkansas,AR,Hot Spring County
5,61,Arkansas,AR,Howard County
5,63,Arkansas,AR,Independence County
5,65,Arkansas,AR,Izard County
5,67,Arkansas,AR,Jackson County
5,69,Arkansas,AR,Jefferson County
5,71,Arkansas,AR,Johnson County
5,73,Arkansas,AR,Lafayette County
5,75,Arkansas,AR,Lawrence County
5,77,Arkansas,AR,Lee County
5,79,Arkansas,AR,Lincoln County
5,81,Arkansas,AR,Little River County
5,83,Arkansas,AR,Logan County
5,85,Arkansas,AR,Lonoke County
5,87,Arkansas,AR,Madison County
5,89,Arkansas,AR,Marion County
5,91,Arkansas,AR,Miller County
5,93,Arkansas,AR,Mississippi County
5,95,Arkansas,AR,Monroe County
5,97,Arkansas,AR,Montgomery County
5,99,Arkansas,AR,Nevada County
5,101,Arkansas,AR,Newton County
5,103,Arkansas,AR,Ouachita County
5,105,Arkansas,AR,Perry County
5,107,Arkansas,AR,Phillips County
5,109,Arkansas,AR,Pike County
5,111,Arkansas,AR,Poinsett County
5,113,Arkansas,AR,Polk County
5,115,Arkansas,AR,Pope County
5,117,Arkansas,AR,Prairie County
5,119,Arkansas,AR,Pulaski County
5,121,Arkansas,AR,Randolph County
5,123,Arkansas,AR,St. Francis County
5,125,Arkansas,AR,Saline County
5,127,Arkansas,AR,Scott County
5,129,Arkansas,AR,Searcy County
5,131,Arkansas,AR,Sebastian County
5,133,Arkansas,AR,Sevier County
5,135,Arkansas,AR,Sharp County
5,137,Arkansas,AR,Stone County
5,139,Arkansas,AR,Union County
5,141,Arkansas,AR,Van Buren County
5,143,Arkansas,AR,Washington County
5,145,Arkansas,AR,White County
5,147,Arkansas,AR,Woodruff County
5,149,Arkansas,AR,Yell County
6,0,California,CA,California
6,1,California,CA,Alameda County
6,3,California,CA,Alpine County
6,5,California,CA,Amador County
6,7,California,CA,Butte County
6,9,California,CA,Calaveras County
6,11,California,CA,Colusa County
6,13,California,CA,Contra Costa County
6,15,California,CA,Del Norte County
6,17,California,CA,El Dorado County
6,19,California,CA,Fresno County
6,21,California,CA,Glenn County
6,23,California,CA,Humboldt County
6,25,California,CA,Imperial County
6,27,California,CA,Inyo County
6,29,California,CA,Kern County
6,31,California,CA,Kings County
6,33,California,CA,Lake County
6,35,California,CA,Lassen County
6,37,California,CA,Los Angeles County
6,39,California,CA,Madera County
6,41,California,CA,Marin County
6,43,California,CA,Mariposa County
6,45,California,CA,Mendocino County
6,47,California,CA,Merced County
6,49,California,CA,Modoc County
6,51,California,CA,Mono County
6,53,California,CA,Monterey County
6,55,California,CA,Napa County
