Year_From,Year_To,Direction,State_To,County_To,State,County,State_From_Name,County_From_Name,Returns,Exemptions,Income
1992,1993,Inflow,36,1,0,1,NY,Albany,7492,12033,198537
1992,1993,Inflow,36,1,36,83,NY,Rensselaer,1263,2093,30030
1992,1993,Inflow,36,1,36,93,NY,Schenectady,1038,1717,27286
1992,1993,Inflow,36,1,36,91,NY,Saratoga,900,1503,26003
1992,1993,Inflow,36,1,57,1,FR,Foreign / Overseas,199,225,1484
1992,1993,Inflow,36,1,36,39,NY,Greene,177,292,4000
1992,1993,Inflow,36,1,36,67,NY,Onondaga,132,194,3370
1992,1993,Inflow,36,1,36,103,NY,Suffolk,119,175,2792
1992,1993,Inflow,36,1,36,21,NY,Columbia,103,155,2562
1992,1993,Inflow,36,1,36,81,NY,Queens,101,172,2470
1992,1993,Inflow,36,1,36,61,NY,New York,98,152,4161
1992,1993,Inflow,36,1,36,119,NY,Westchester,95,151,3930
1992,1993,Inflow,36,1,36,111,NY,Ulster,94,134,2144
1992,1993,Inflow,36,1,36,65,NY,Oneida,88,133,1728
1992,1993,Inflow,36,1,36,47,NY,Kings,86,148,2148
1992,1993,Inflow,36,1,36,55,NY,Monroe,85,116,2410
1992,1993,Inflow,36,1,36,27,NY,Dutchess,81,97,1738
1992,1993,Inflow,36,1,36,59,NY,Nassau,78,107,2050
1992,1993,Inflow,36,1,36,29,NY,Erie,76,138,2874
1992,1993,Inflow,36,1,36,95,NY,Schoharie,67,99,1478
1992,1993,Inflow,36,1,36,71,NY,Orange,64,96,1300
1992,1993,Inflow,36,1,36,57,NY,Montgomery,61,81,1402
1992,1993,Inflow,36,1,36,113,NY,Warren,56,84,1102
1992,1993,Inflow,36,1,36,35,NY,Fulton,52,69,1045
1992,1993,Inflow,36,1,57,5,FR,APO / FPO Zip Code,50,102,1133
1992,1993,Inflow,36,1,25,17,Ma,Middlesex,50,79,2250
1992,1993,Inflow,36,1,36,7,NY,Broome,49,62,907
1992,1993,Inflow,36,1,36,19,NY,Clinton,47,67,852
1992,1993,Inflow,36,1,36,87,NY,Rockland,44,60,937
1992,1993,Inflow,36,1,36,5,NY,Bronx,43,70,877
1992,1993,Inflow,36,1,6,37,Ca,Los Angeles,43,66,1659
1992,1993,Inflow,36,1,25,3,Ma,Berkshire,40,75,1334
1992,1993,Inflow,36,1,9,3,Ct,Hartford,34,51,1434
1992,1993,Inflow,36,1,17,31,Il,Cook,34,45,968
1992,1993,Inflow,36,1,25,25,Ma,Suffolk,29,42,552
1992,1993,Inflow,36,1,36,77,NY,Otsego,29,37,508
1992,1993,Inflow,36,1,36,43,NY,Herkimer,27,42,494
1992,1993,Inflow,36,1,36,31,NY,Essex,27,39,551
1992,1993,Inflow,36,1,36,115,NY,Washington,27,33,577
1992,1993,Inflow,36,1,9,9,Ct,New Haven,25,37,753
1992,1993,Inflow,36,1,6,73,Ca,San Diego,24,45,453
1992,1993,Inflow,36,1,36,89,NY,St. Lawrence,24,39,367
1992,1993,Inflow,36,1,34,3,NJ,Bergen,23,36,878
1992,1993,Inflow,36,1,12,99,Fl,Palm Beach,22,29,576
1992,1993,Inflow,36,1,12,11,Fl,Broward,21,31,493
1992,1993,Inflow,36,1,25,9,Ma,Essex,21,32,855
1992,1993,Inflow,36,1,36,45,NY,Jefferson,20,25,315
1992,1993,Inflow,36,1,9,1,Ct,Fairfield,20,40,1028
1992,1993,Inflow,36,1,25,27,Ma,Worcester,18,29,672
1992,1993,Inflow,36,1,36,75,NY,Oswego,18,22,336
1992,1993,Inflow,36,1,36,105,NY,Sullivan,18,23,320
1992,1993,Inflow,36,1,12,25,Fl,Dade,18,31,813
1992,1993,Inflow,36,1,34,13,NJ,Essex,18,27,703
1992,1993,Inflow,36,1,36,15,NY,Chemung,17,34,430
1992,1993,Inflow,36,1,34,23,NJ,Middlesex,17,26,608
1992,1993,Inflow,36,1,39,49,Oh,Franklin,17,25,565
1992,1993,Inflow,36,1,36,109,NY,Tompkins,16,27,476
1992,1993,Inflow,36,1,36,69,NY,Ontario,16,17,347
1992,1993,Inflow,36,1,25,13,Ma,Hampden,16,26,488
1992,1993,Inflow,36,1,34,25,NJ,Monmouth,16,29,533
1992,1993,Inflow,36,1,36,85,NY,Richmond,16,20,393
1992,1993,Inflow,36,1,34,27,NJ,Morris,15,28,942
1992,1993,Inflow,36,1,25,21,Ma,Norfolk,15,25,904
1992,1993,Inflow,36,1,50,7,Vt,Chittenden,15,20,298
1992,1993,Inflow,36,1,51,810,Va,Virginia Beach city,14,22,258
1992,1993,Inflow,36,1,9,11,Ct,New London,14,22,211
1992,1993,Inflow,36,1,36,13,NY,Chautauqua,14,22,325
1992,1993,Inflow,36,1,36,53,NY,Madison,14,19,362
1992,1993,Inflow,36,1,12,95,Fl,Orange,13,18,178
1992,1993,Inflow,36,1,4,13,Az,Maricopa,13,29,886
1992,1993,Inflow,36,1,24,31,Md,Montgomery,13,24,431
1992,1993,Inflow,36,1,36,33,NY,Franklin,13,18,204
1992,1993,Inflow,36,1,44,7,RI,Providence,13,21,446
1992,1993,Inflow,36,1,39,61,Oh,Hamilton,12,23,315
1992,1993,Inflow,36,1,36,11,NY,Cayuga,12,16,296
1992,1993,Inflow,36,1,50,3,Vt,Bennington,12,15,245
1992,1993,Inflow,36,1,12,103,Fl,Pinellas,11,22,479
1992,1993,Inflow,36,1,42,45,Pa,Delaware,11,15,482
1992,1993,Inflow,36,1,8,41,Co,El Paso,10,19,230
1992,1993,Inflow,36,1,53,33,Wa,King,10,19,724
1992,1993,Inflow,36,1,12,31,Fl,Duval,10,24,270
1992,1993,Inflow,36,1,11,1,DC,"Wash.,D.C.",10,12,342
1992,1993,Inflow,36,1,48,201,Tx,Harris,10,18,883
1992,1993,Inflow,36,1,48,113,Tx,Dallas,10,24,504
