State1,County1,State2,County2,State3,County3,Returns,Exemptions,Income
36,001,,,NY,Albany Total Migration F,7670,13113,
36,1,36,083,NY,Rensselaer,1351,2363,
36,1,36,093,NY,Schenectady,1168,2116,
36,1,36,091,NY,Saratoga,1034,1851,
36,1,36,039,NY,Greene,170,327,
36,1,36,061,NY,New York,117,129,
36,1,36,067,NY,Onondaga,109,169,
36,1,36,095,NY,Schoharie,94,208,
36,1,36,029,NY,Erie,87,138,
36,1,36,021,NY,Columbia,87,144,
36,1,36,055,NY,Monroe,78,122,
36,1,36,081,NY,Queens,67,87,
36,1,36,047,NY,Kings,66,84,
36,1,36,113,NY,Warren,64,113,
36,1,57,001,FR,Foreign / Overseas,62,106,
36,1,36,103,NY,Suffolk,61,95,
36,1,06,037,Ca,Los Angeles,59,86,
36,1,36,111,NY,Ulster,56,82,
36,1,12,011,Fl,Broward,56,82,
36,1,36,065,NY,Oneida,55,86,
36,1,36,119,NY,Westchester,52,77,
36,1,36,057,NY,Montgomery,48,89,
36,1,36,059,NY,Nassau,47,67,
36,1,36,115,NY,Washington,46,71,
36,1,36,027,NY,Dutchess,46,72,
36,1,25,025,Ma,Suffolk,40,42,
36,1,36,019,NY,Clinton,39,62,
36,1,12,103,Fl,Pinellas,38,75,
36,1,25,017,Ma,Middlesex,36,50,
36,1,36,035,NY,Fulton,35,64,
36,1,09,003,Ct,Hartford,32,58,
36,1,36,071,NY,Orange,31,52,
36,1,25,003,Ma,Berkshire,30,39,
36,1,11,001,DC,"Wash.,D.C.",29,33,
36,1,09,001,Ct,Fairfield,28,45,
36,1,12,099,Fl,Palm Beach,28,38,
36,1,53,033,Wa,King,28,37,
36,1,51,059,Va,Fairfax,27,39,
36,1,06,073,Ca,San Diego,27,36,
36,1,36,087,NY,Rockland,27,39,
36,1,17,031,Il,Cook,26,37,
36,1,32,003,Nv,Clark,26,36,
36,1,06,075,Ca,San Francisco,25,29,
36,1,04,013,Az,Maricopa,24,39,
36,1,12,057,Fl,Hillsborough,23,45,
36,1,25,021,Ma,Norfolk,23,35,
36,1,12,095,Fl,Orange,23,39,
36,1,34,027,NJ,Morris,23,36,
36,1,12,025,Fl,Dade,22,49,
36,1,36,077,NY,Otsego,21,32,
36,1,42,091,Pa,Montgomery,21,30,
36,1,24,031,Md,Montgomery,21,36,
36,1,15,003,Hi,Honolulu,21,32,
36,1,09,009,Ct,New Haven,21,38,
36,1,36,007,NY,Broome,20,45,
36,1,36,089,NY,St. Lawrence,20,35,
36,1,50,007,Vt,Chittenden,20,37,
36,1,12,127,Fl,Volusia,20,38,
36,1,36,005,NY,Bronx,18,23,
36,1,12,115,Fl,Sarasota,18,29,
36,1,36,031,NY,Essex,18,36,
36,1,36,043,NY,Herkimer,18,34,
36,1,34,023,NJ,Middlesex,17,22,
36,1,25,009,Ma,Essex,17,32,
36,1,13,121,Ga,Fulton,17,24,
36,1,36,053,NY,Madison,17,29,
36,1,42,101,Pa,Philadelphia,16,25,
36,1,25,027,Ma,Worcester,16,25,
36,1,34,017,NJ,Hudson,16,16,
36,1,13,089,Ga,De Kalb,15,23,
36,1,42,003,Pa,Allegheny,15,32,
36,1,36,085,NY,Richmond,14,23,
36,1,50,003,Vt,Bennington,14,19,
36,1,36,109,NY,Tompkins,14,21,
36,1,50,021,Vt,Rutland,14,28,
36,1,06,059,Ca,Orange,14,28,
36,1,37,119,NC,Mecklenburg,14,28,
36,1,33,011,NH,Hillsborough,14,25,
36,1,42,029,Pa,Chester,13,23,
36,1,48,201,Tx,Harris,13,20,
36,1,36,033,NY,Franklin,13,20,
36,1,24,033,Md,Prince George's,13,13,
36,1,12,071,Fl,Lee,13,21,
36,1,17,043,Il,Du Page,13,17,
36,1,12,009,Fl,Brevard,13,20,
36,1,06,085,Ca,Santa Clara,12,17,
36,1,36,025,NY,Delaware,12,18,
36,1,26,125,Mi,Oakland,12,30,
36,1,12,031,Fl,Duval,11,20,
36,1,45,051,SC,Horry,11,22,
36,1,06,081,Ca,San Mateo,11,12,
36,1,44,007,RI,Providence,11,18,
36,1,04,019,Az,Pima,11,19,
36,1,12,101,Fl,Pasco,11,23,
36,1,12,021,Fl,Collier,10,25,
36,1,51,810,Va,Virginia Beach city,10,20,
36,1,25,013,Ma,Hampden,10,12,
36,1,37,133,NC,Onslow,10,20,
36,1,24,003,Md,Anne Arundel,10,15,
36,1,51,510,Va,Alexandria city,10,13,
36,1,24,005,Md,Baltimore,10,21,
36,1,39,049,Oh,Franklin,10,16,
36,1,,,XX,Same State,111,166,
36,1,,,XX,Region 1: Northeast,244,441,
36,1,,,XX,Region 2: Midwest,162,345,
36,1,,,XX,Region 3: South,446,789,
36,1,,,XX,Region 4: West,163,254,
36,1,36,001 ,XX,County Non-Migrants,108081,217336,
36,3,,,NY,Allegany Total Migration,889,1728,
36,3,36,009,NY,Cattaraugus,113,250,
36,3,36,101,NY,Steuben,75,170,
36,3,36,029,NY,Erie,73,114,
36,3,36,055,NY,Monroe,56,92,
36,3,36,051,NY,Livingston,42,100,
36,3,36,121,NY,Wyoming,29,59,
36,3,57,001,FR,Foreign / Overseas,18,26,
36,3,36,063,NY,Niagara,12,25,
36,3,36,069,NY,Ontario,11,21,
36,3,42,083,Pa,McKean,11,24,
36,3,,,XX,Same State,121,205,
36,3,,,XX,Region 1: Northeast,77,137,
36,3,,,XX,Region 2: Midwest,44,84,
36,3,,,XX,Region 3: South,167,344,
36,3,,,XX,Region 4: West,40,77,
36,3,36,003 ,XX,County Non-Migrants,14343,35278,
36,5,,,NY,Bronx Total Migration Fl,25149,51541,
36,5,36,061,NY,New York,5363,10930,
36,5,36,119,NY,Westchester,3070,5991,
36,5,36,081,NY,Queens,2899,5840,
36,5,36,047,NY,Kings,1975,3848,
36,5,34,003,NJ,Bergen,600,1251,
36,5,36,059,NY,Nassau,537,1127,
36,5,36,087,NY,Rockland,514,1130,
36,5,57,003,FR,Foreign / Puerto Rico,480,1148,
36,5,34,017,NJ,Hudson,480,997,
36,5,12,011,Fl,Broward,415,839,
36,5,36,103,NY,Suffolk,402,830,
