State1,County1,State2,County2,State3,County3,Returns,Exemptions,Income
36,001,,,NY,Albany Total Migration F,7414,11957,
36,1,36,083,NY,Rensselaer,1285,2120,
36,1,36,093,NY,Schenectady,1028,1795,
36,1,36,091,NY,Saratoga,855,1390,
36,1,36,039,NY,Greene,183,308,
36,1,57,001,FR,Foreign / Overseas,141,171,
36,1,36,021,NY,Columbia,127,200,
36,1,36,061,NY,New York,113,164,
36,1,36,067,NY,Onondaga,102,149,
36,1,36,111,NY,Ulster,101,143,
36,1,36,103,NY,Suffolk,99,137,
36,1,36,059,NY,Nassau,97,140,
36,1,36,029,NY,Erie,90,131,
36,1,36,047,NY,Kings,89,157,
36,1,36,065,NY,Oneida,86,124,
36,1,36,119,NY,Westchester,85,123,
36,1,36,095,NY,Schoharie,79,143,
36,1,25,017,Ma,Middlesex,68,101,
36,1,36,113,NY,Warren,68,110,
36,1,36,081,NY,Queens,67,96,
36,1,36,055,NY,Monroe,64,90,
36,1,36,027,NY,Dutchess,62,91,
36,1,36,057,NY,Montgomery,61,102,
36,1,36,071,NY,Orange,61,86,
36,1,57,005,FR,APO / FPO Zip Code,52,94,
36,1,36,005,NY,Bronx,49,82,
36,1,36,019,NY,Clinton,48,71,
36,1,36,035,NY,Fulton,45,66,
36,1,25,003,Ma,Berkshire,45,56,
36,1,09,003,Ct,Hartford,39,64,
36,1,36,007,NY,Broome,39,54,
36,1,36,077,NY,Otsego,38,56,
36,1,36,087,NY,Rockland,33,39,
36,1,25,021,Ma,Norfolk,31,56,
36,1,36,115,NY,Washington,30,38,
36,1,12,011,Fl,Broward,29,42,
36,1,09,001,Ct,Fairfield,28,41,
36,1,09,009,Ct,New Haven,27,44,
36,1,06,037,Ca,Los Angeles,27,47,
36,1,36,043,NY,Herkimer,27,37,
36,1,25,025,Ma,Suffolk,26,34,
36,1,36,089,NY,St. Lawrence,25,29,
36,1,25,013,Ma,Hampden,24,33,
36,1,36,045,NY,Jefferson,23,36,
36,1,12,103,Fl,Pinellas,22,33,
36,1,51,059,Va,Fairfax,22,41,
36,1,36,031,NY,Essex,22,31,
36,1,36,085,NY,Richmond,21,38,
36,1,12,025,Fl,Dade,19,31,
36,1,25,009,Ma,Essex,19,35,
36,1,17,031,Il,Cook,18,25,
36,1,06,073,Ca,San Diego,18,30,
36,1,33,011,NH,Hillsborough,17,31,
36,1,34,023,NJ,Middlesex,17,22,
36,1,36,105,NY,Sullivan,17,27,
36,1,42,003,Pa,Allegheny,16,25,
36,1,36,109,NY,Tompkins,16,19,
36,1,50,007,Vt,Chittenden,16,24,
36,1,25,027,Ma,Worcester,16,29,
36,1,36,075,NY,Oswego,16,19,
36,1,34,003,NJ,Bergen,16,23,
36,1,44,007,RI,Providence,16,37,
36,1,36,079,NY,Putnam,16,25,
36,1,42,101,Pa,Philadelphia,15,30,
36,1,06,075,Ca,San Francisco,15,20,
36,1,24,031,Md,Montgomery,15,32,
36,1,36,033,NY,Franklin,15,20,
36,1,36,025,NY,Delaware,15,16,
36,1,11,001,DC,"Wash.,D.C.",15,20,
36,1,25,015,Ma,Hampshire,14,21,
36,1,04,013,Az,Maricopa,14,27,
36,1,36,015,NY,Chemung,13,25,
36,1,09,011,Ct,New London,13,21,
36,1,06,059,Ca,Orange,13,17,
36,1,34,013,NJ,Essex,12,19,
36,1,50,003,Vt,Bennington,12,19,
36,1,42,091,Pa,Montgomery,12,29,
36,1,25,001,Ma,Barnstable,12,15,
36,1,23,005,Me,Cumberland,12,22,
36,1,50,021,Vt,Rutland,12,18,
36,1,34,027,NJ,Morris,12,19,
36,1,36,063,NY,Niagara,11,12,
36,1,34,025,NJ,Monmouth,11,12,
36,1,25,023,Ma,Plymouth,11,24,
36,1,34,039,NJ,Union,11,23,
36,1,36,053,NY,Madison,11,11,
36,1,34,031,NJ,Passaic,10,19,
36,1,12,127,Fl,Volusia,10,12,
36,1,33,015,NH,Rockingham,10,14,
36,1,12,095,Fl,Orange,10,13,
36,1,,,XX,Same State,85,105,
36,1,,,XX,Region 1: Northeast,221,384,
36,1,,,XX,Region 2: Midwest,163,286,
36,1,,,XX,Region 3: South,438,805,
36,1,,,XX,Region 4: West,135,212,
36,1,36,001 ,XX,County Non-Migrants,108401,217671,
36,3,,,NY,Allegany Total Migration,853,1723,
36,3,36,009,NY,Cattaraugus,106,230,
36,3,36,101,NY,Steuben,85,162,
36,3,36,029,NY,Erie,80,154,
36,3,36,055,NY,Monroe,57,97,
36,3,36,051,NY,Livingston,25,58,
36,3,42,105,Pa,Potter,23,55,
36,3,36,121,NY,Wyoming,21,51,
36,3,36,013,NY,Chautauqua,16,40,
36,3,42,083,Pa,McKean,14,25,
36,3,36,063,NY,Niagara,14,29,
36,3,57,001,FR,Foreign / Overseas,14,25,
36,3,36,067,NY,Onondaga,12,24,
36,3,57,005,FR,APO / FPO Zip Code,11,17,
36,3,,,XX,Same State,105,192,
36,3,,,XX,Region 1: Northeast,73,140,
36,3,,,XX,Region 2: Midwest,33,67,
36,3,,,XX,Region 3: South,126,276,
36,3,,,XX,Region 4: West,38,81,
36,3,36,003 ,XX,County Non-Migrants,14620,35703,
36,5,,,NY,Bronx Total Migration Fl,15482,30923,
36,5,36,061,NY,New York,6224,13200,
36,5,36,047,NY,Kings,1855,3826,
36,5,36,081,NY,Queens,1854,3826,
36,5,36,119,NY,Westchester,1324,2477,
36,5,36,059,NY,Nassau,230,414,
36,5,57,001,FR,Foreign / Overseas,202,267,
36,5,34,017,NJ,Hudson,196,422,
36,5,36,103,NY,Suffolk,187,332,
36,5,34,003,NJ,Bergen,173,333,
36,5,57,005,FR,APO / FPO Zip Code,147,262,
36,5,36,087,NY,Rockland,136,234,
36,5,12,025,Fl,Dade,134,243,
36,5,36,085,NY,Richmond,122,252,
36,5,34,013,NJ,Essex,109,212,
36,5,09,001,Ct,Fairfield,96,174,
36,5,36,071,NY,Orange,82,144,
36,5,34,031,NJ,Passaic,76,164,
36,5,06,037,Ca,Los Angeles,75,129,
36,5,12,011,Fl,Broward,64,116,
36,5,34,023,NJ,Middlesex,55,104,
36,5,36,027,NY,Dutchess,53,95,
