State1,County1,State2,County2,State3,County3,Returns,Exemptions
36,001,,,NY,Albany Total Migration F,8029,13528
36,1,36,083,NY,Rensselaer,1447,2475
36,1,36,093,NY,Schenectady,1205,2243
36,1,36,091,NY,Saratoga,1132,2030
36,1,36,039,NY,Greene,181,362
36,1,36,021,NY,Columbia,104,180
36,1,36,061,NY,New York,103,118
36,1,36,055,NY,Monroe,92,132
36,1,36,067,NY,Onondaga,82,126
36,1,36,029,NY,Erie,75,107
36,1,36,057,NY,Montgomery,64,132
36,1,36,095,NY,Schoharie,63,129
36,1,36,113,NY,Warren,62,96
36,1,36,111,NY,Ulster,60,80
36,1,36,103,NY,Suffolk,54,70
36,1,36,065,NY,Oneida,54,93
36,1,25,017,Ma,Middlesex,53,72
36,1,25,025,Ma,Suffolk,50,53
36,1,36,059,NY,Nassau,48,52
36,1,36,081,NY,Queens,45,67
36,1,36,047,NY,Kings,45,63
36,1,42,003,Pa,Allegheny,44,70
36,1,36,027,NY,Dutchess,44,68
36,1,36,119,NY,Westchester,43,53
36,1,36,071,NY,Orange,43,59
36,1,12,011,Fl,Broward,43,62
36,1,06,037,Ca,Los Angeles,41,50
36,1,12,099,Fl,Palm Beach,39,58
36,1,57,001,FR,Foreign / Overseas,38,71
36,1,36,115,NY,Washington,33,68
36,1,17,031,Il,Cook,33,54
36,1,24,031,Md,Montgomery,33,53
36,1,36,035,NY,Fulton,32,58
36,1,04,013,Az,Maricopa,31,58
36,1,57,005,FR,APO / FPO Zip Code,31,42
36,1,12,103,Fl,Pinellas,31,50
36,1,09,003,Ct,Hartford,30,42
36,1,36,019,NY,Clinton,30,41
36,1,11,001,DC,"Wash.,D.C.",26,29
36,1,36,007,NY,Broome,26,49
36,1,09,001,Ct,Fairfield,25,34
36,1,36,077,NY,Otsego,25,43
36,1,34,003,NJ,Bergen,25,46
36,1,12,025,Fl,Dade,24,31
36,1,36,005,NY,Bronx,24,37
36,1,09,009,Ct,New Haven,23,32
36,1,34,023,NJ,Middlesex,21,39
36,1,06,075,Ca,San Francisco,21,22
36,1,25,013,Ma,Hampden,21,37
36,1,42,101,Pa,Philadelphia,21,24
36,1,53,033,Wa,King,21,26
36,1,25,021,Ma,Norfolk,21,25
36,1,34,027,NJ,Morris,20,34
36,1,51,810,Va,Virginia Beach city,20,48
36,1,06,073,Ca,San Diego,20,25
36,1,12,095,Fl,Orange,20,24
36,1,08,013,Co,Boulder,19,22
36,1,13,121,Ga,Fulton,19,29
36,1,12,115,Fl,Sarasota,19,33
36,1,51,059,Va,Fairfax,19,41
36,1,12,057,Fl,Hillsborough,18,36
36,1,36,033,NY,Franklin,18,29
36,1,25,003,Ma,Berkshire,18,21
36,1,36,089,NY,St. Lawrence,18,30
36,1,42,091,Pa,Montgomery,17,29
36,1,36,087,NY,Rockland,17,21
36,1,36,031,NY,Essex,17,26
36,1,36,109,NY,Tompkins,17,20
36,1,48,201,Tx,Harris,17,25
36,1,50,003,Vt,Bennington,17,23
36,1,25,027,Ma,Worcester,17,25
36,1,12,127,Fl,Volusia,16,36
36,1,39,049,Oh,Franklin,16,26
36,1,32,003,Nv,Clark,15,27
36,1,13,067,Ga,Cobb,14,27
36,1,51,710,Va,Norfolk city,14,25
36,1,33,011,NH,Hillsborough,14,23
36,1,12,105,Fl,Polk,14,21
36,1,12,071,Fl,Lee,14,25
36,1,24,033,Md,Prince George's,14,20
36,1,36,043,NY,Herkimer,13,15
36,1,47,037,Tn,Davidson,13,19
36,1,44,007,RI,Providence,13,18
36,1,12,101,Fl,Pasco,13,20
36,1,06,059,Ca,Orange,13,20
36,1,51,013,Va,Arlington,13,17
36,1,39,061,Oh,Hamilton,13,21
36,1,13,089,Ga,De Kalb,12,16
36,1,36,075,NY,Oswego,12,19
36,1,37,119,NC,Mecklenburg,12,22
36,1,42,007,Pa,Beaver,11,26
36,1,45,051,SC,Horry,11,17
36,1,25,001,Ma,Barnstable,11,13
36,1,36,053,NY,Madison,11,17
36,1,24,005,Md,Baltimore,11,20
36,1,24,510,Md,Baltimore city,11,13
