Year,Laws,Population,White,Black_Free,Black_Slave,Native_Am,Asian_Pac,Other_Race,Hispanic,Native_Born,Foreign_Born,Europe,Asia,Africa,Oceania,Latin_Am,North_Am,IV_Emp,IV_All,NIV_Emp,NIV_All,Visas_Total,Removed,Apprehended,Returned,Enforcement,Agriculture,Mining,Utilities,Construction,Manufacturing,Wholesale,Retail,Transportation,Information,FIRE,Service,Education,Entertainment,Other_Sector,Govt_Federal,Govt_StateLoc
2016,0,323127515,234644039,40893369,0,2676399,18152921,26760787,57398719,279388170,43739345,4767589,13471718,2143228,262436,22307066,787308,137893,1183505,3896674,76786751,82004823,340056,530250,106167,976473,428.1,358.6,391.1,1442,5712.6,1577.8,1718,1067,1622.3,5862.9,3621.7,2643.2,1344.1,690.2,1106.8,2498.5
2015,1,321418821,234940100,40695277,0,2597249,17828723,25357472,56496122,278128449,43290372,4805231,13246854,2077938,259742,22121380,822517,144047,1051031,3722543,76638236,81555857,326962,462388,129429,918779,447.9,457.7,405.4,1355.5,5785,1576.3,1657.7,1079.6,1557.4,5620.6,3492.4,2525,1279.3,658.4,1101.2,2432.1
2014,4,318857056,233963128,40379066,0,2601714,17244114,24669034,55279452,276465262,42391794,4747881,12759930,1950023,254351,21874166,805444,151596,1016518,3398961,74930606,79497681,405589,679996,163223,1248808,493.8,682.7,429.2,1244.5,6098.4,1564.8,1572.4,1072,1493.1,5374.3,3331.1,2385.7,1193,639,1096.4,2363.6
2013,1,316128839,232969901,39919371,0,2521131,16537870,24180566,53986412,274780773,41348066,4796376,12197679,1819315,206740,21459646,826961,161110,990553,2996743,61052260,65200666,433034,662483,178663,1274180,481.2,619.5,392.6,1139.7,5953.3,1506.8,1512.5,1007.1,1418.8,5031.9,3131.4,2295.4,1120.5,599.1,1099,2292.5
2012,4,313914040,231992377,39623138,0,2563505,16098728,23636292,52961017,273089382,40824658,4817310,11920800,1714636,244948,21310471,816493,143998,1031631,3049419,53887286,58112334,415900,671327,230333,1317560,447.3,570.2,366.5,1069.9,5841.6,1443.2,1449.2,974.4,1366.7,4797.3,3041.2,2234.8,1076.2,585.3,1152.7,2246.5
2011,2,311591919,230838975,39189528,0,2547006,15526436,23489974,51939916,271214059,40377860,4885721,11548068,1655492,201889,21238754,807557,139339,1062040,3385775,53082286,57669440,385778,678606,322073,1386457,434.7,556.1,400.8,1008.6,5581.9,1357.8,1367.6,924.9,1308.8,4618.7,2885.9,2148.6,1015.2,554.7,1151.3,2220.6
2010,4,308745538,223553265,38929319,0,2932248,15214265,28116441,50477594,269393835,39955854,4834658,11267551,1598234,199779,21216558,799117,148343,1042625,2816485,46471569,50479022,381593,796587,474166,1652346,372.8,463.3,423.5,1008.3,4992.5,1253.1,1327.5,844.7,1255.9,4522.5,2727.5,2058.8,964,539.6,1146.1,2193.4
2009,2,,,,,,,,,,,,,,,,,140903,1130818,1703697,36231554,39206972,391283,889212,582584,1863079,341.9,380.4,389.3,1090.4,4469.3,1092,1222.5,773.5,1205.4,4420.7,2596.3,1975.2,943.1,526,1074.2,2157.1
2008,6,,,,,,,,,,,,,,,,,164741,1107126,1949695,39381928,42603490,359795,1043759,811263,2214817,380.5,592.4,490.4,1266,5457.8,1311.4,1280.7,907.9,1242.7,4614.8,2738,1885.8,969.6,551.6,1021,2114.9
2007,2,,,,,,,,,,,,,,,,,161733,1052415,1932075,37149651,40295874,319382,960673,891390,2171445,346.9,471.4,438.2,1329.4,5354.4,1269.5,1320.7,866.9,1208.6,4702.8,2639.2,1774.7,948,533.8,934.6,2012.1
2006,4,,,,,,,,,,,,,,,,,159081,1266264,1709953,33667328,36802626,280974,1206408,1043381,2530763,303.5,439.9,410.1,1345,5052.8,1196.5,1295.1,818,1165,4533.8,2436.4,1673.5,902.4,522.3,896.6,1897
2005,1,,,,,,,,,,,,,,,,,246878,1122373,1573631,32003435,34946317,246431,1291065,1096920,2634416,299.6,391.8,408.2,1280.1,4770.9,1116.8,1233.7,749.9,1123.2,4302,2277,1580,846.1,496.2,848.5,1790.7
2004,4,,,,,,,,,,,,,,,,,155330,957883,1508340,30781330,33402883,240665,1264232,1166576,2671473,307.2,297.8,344.5,1152.5,4336,1023,1185.5,686.4,1080.2,3921.2,2099.1,1483.3,800.1,486.6,801.7,1692.3
2003,2,,,,,,,,,,,,,,,,,81727,703542,1431717,27849443,30066429,211098,1046422,945294,2202814,268.2,250.5,336.3,1035.1,4025.8,925.8,1104.6,620.7,1045.2,3611.7,1945.4,1397.9,750.7,468.1,745.6,1603.5
2002,10,,,,,,,,,,,,,,,,,173814,1059356,1468760,27907139,30609069,165168,1062270,1012116,2239554,241.3,194,319,967.9,3939.9,893.9,1040.4,587.5,1041.2,3396.6,1856.7,1308.7,712.9,457,674.8,1543.2
2001,1,,,,,,,,,,,,,,,,,178702,1058902,1541902,32824088,35603594,189026,1387486,1349371,2925883,251.2,224.2,432,955.2,4001.4,862.6,989.4,582.5,1027.9,3266.4,1849.2,1213,679.9,441.1,616.3,1470.8
2000,13,281421906,211460626,34658190,0,2475956,10641833,22185301,35305818,246786466,31107889,4915557,8226254,881300,168046,16086974,829442,106642,841002,1414453,33660320,36022417,188467,1814729,1675876,3679072,243.5,216.3,360.7,911.8,4225.3,884.3,992.8,590.9,1000.9,3165.5,1818.1,1113.8,662.8,423.6,583.6,1370.6
