Year,Immigrant,Nonimmigrant,Removed,Returned,Apprehended
2016,144047,3896674,"340,056","106,167","530,250"
2015,151596,3722543,"326,962","129,429","462,388"
2014,161110,3398961,"405,589","163,223","679,996"
2013,143998,2996743,"433,034","178,663","662,483"
2012,139339,3049419,"415,900","230,333","671,327"
2011,148343,3385775,"385,778","322,073","678,606"
2010,140903,2816485,"381,593","474,166","796,587"
2009,164741,1703697,"391,283","582,584","889,212"
2008,161733,1949695,"359,795","811,263","1,043,759"
2007,159075,1932075,"319,382","891,390","960,673"
2006,246865,1709953,"280,974","1,043,381","1,206,408"
2005,155317,1573631,"246,431","1,096,920","1,291,065"
2004,81714,1508340,"240,665","1,166,576","1,264,232"
2003,173777,1431717,"211,098","945,294","1,046,422"
2002,178655,1468760,"165,168","1,012,116","1,062,270"
2001,179195,1541902,"189,026","1,349,371","1,387,486"
2000,107024,1414453,"188,467","1,675,876","1,814,729"
1999,56817,1183885,"183,114","1,574,863","1,714,035"
1998,77517,1010756,"174,813","1,570,127","1,679,439"
1997,90607,856188,"114,432","1,440,684","1,536,520"
1996,117499,701619,"69,680","1,573,428","1,649,986"
1995,85336,603988,"50,924","1,313,764","1,394,554"
1994,123291,577494,"45,674","1,029,107","1,094,719"
1993,147012,500499,"42,542","1,243,410","1,327,261"
1992,116198,498130,"43,671","1,105,829","1,258,481"
1991,59525,483673,"33,189","1,061,105","1,197,875"
1990,58192,438617,"30,039","1,022,533","1,169,939"
1989,57741,424533,"34,427","830,890","954,243"
1988,58727,395306,"25,829","911,790","1,008,145"
1987,57519,366079,"24,336","1,091,203","1,190,488"
1986,56617,336852,"24,592","1,586,320","1,767,400"
1985,64034,307625,"23,105","1,041,296","1,348,749"
1984,60375,285077,"18,696","909,833","1,246,981"
1983,56715,262530,"19,211","931,600","1,251,357"
1982,53056,239982,"15,216","812,572","970,246"
1981,49397,217434,"17,379","823,875","975,780"
1980,0,0,"18,013","719,211","910,361"
1979,0,0,"26,825","966,137","1,076,418"
1978,0,0,"29,277","975,515","1,057,977"
1977,0,0,"31,263","867,015","1,042,215"
1976,0,0,"38,471","955,374","1,097,739"
1975,0,0,"24,432","655,814","766,600"
1974,0,0,"19,413","718,740","788,145"
1973,0,0,"17,346","568,005","655,968"
1972,0,0,"16,883","450,927","505,949"
1971,0,0,"18,294","370,074","420,126"
1970,0,0,"17,469","303,348","345,353"
1969,0,0,"11,030","240,958","283,557"
1968,0,0,"9,590","179,952","212,057"
1967,0,0,"9,728","142,343","161,608"
1966,0,0,"9,680","123,683","138,520"
1965,0,0,"10,572","95,263","110,371"
1964,0,0,"9,167","73,042","86,597"
1963,0,0,"7,763","69,392","88,712"
1962,0,0,"8,025","54,164","92,758"
1961,0,0,"8,181","52,383","88,823"
1960,0,0,"7,240","52,796","70,684"
1959,0,0,"8,468","56,610","45,336"
1958,0,0,"7,875","60,600","53,474"
1957,0,0,"5,989","63,379","59,918"
1956,0,0,"9,006","80,891","87,696"
1955,0,0,"17,695","232,769","254,096"
1954,0,0,"30,264","1,074,277","1,089,583"
1953,0,0,"23,482","885,391","885,587"
1952,0,0,"23,125","703,778","543,535"
1951,0,0,"17,328","673,169","509,040"
1950,0,0,"10,199","572,477","468,339"
1949,0,0,"23,874","276,297","288,253"
1948,0,0,"25,276","197,184","192,779"
1947,0,0,"23,434","195,880","193,657"
1946,0,0,"17,317","101,945","99,591"
1945,0,0,"13,611","69,490","69,164"
1944,0,0,"8,821","32,270","31,174"
1943,0,0,"5,702","11,947","11,175"
1942,0,0,"5,542","6,904","11,784"
1941,0,0,"7,336","6,531","11,294"
1940,0,0,"12,254","8,594","10,492"
1939,0,0,"14,700","9,590","12,037"
1938,0,0,"17,341","9,278","12,851"
1937,0,0,"16,905","8,788","13,054"
1936,0,0,"16,195","8,251","11,728"
1935,0,0,"13,877","7,978","11,016"
1934,0,0,"14,263","8,010","10,319"
1933,0,0,"25,392","10,347","20,949"
1932,0,0,"26,490","10,775","22,735"
1931,0,0,"27,886","11,719","22,276"
1930,0,0,"24,864","11,387","20,880"
1929,0,0,"31,035","25,888","32,711"
1928,0,0,"30,464","19,946","23,566"
1927,0,0,"31,417","15,012","16,393"
1926,0,0,"31,454",0,"12,735"
1925,0,0,"34,885",0,"22,199"
1924,0,0,"36,693",0,0
1923,0,0,"24,280",0,0
1922,0,0,"18,076",0,0
1921,0,0,"18,296",0,0
1920,0,0,"14,557",0,0
1919,0,0,"11,694",0,0
1918,0,0,"8,866",0,0
1917,0,0,"17,881",0,0
1916,0,0,"21,648",0,0
1915,0,0,"26,675",0,0
1914,0,0,"37,651",0,0
1913,0,0,"23,399",0,0
1912,0,0,"18,513",0,0
1911,0,0,"25,137",0,0
1910,0,0,"26,965",0,0
1909,0,0,"12,535",0,0
1908,0,0,"12,971",0,0
1907,0,0,"14,059",0,0
1906,0,0,"13,108",0,0
1905,0,0,"12,724",0,0
1904,0,0,"8,773",0,0
1903,0,0,"9,316",0,0
1902,0,0,"5,439",0,0
1901,0,0,"3,879",0,0
1900,0,0,"4,602",0,0
1899,0,0,"4,052",0,0
1898,0,0,"3,229",0,0
1897,0,0,"1,880",0,0
1896,0,0,"3,037",0,0
1895,0,0,"2,596",0,0
1894,0,0,"1,806",0,0
1893,0,0,"1,630",0,0
1892,0,0,"2,801",0,0
