Category,Sector,Industry,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Private,"Agriculture, forestry, fishing, and hunting",Farms,219.4,207.8,199.9,204.3,212.3,201.9,226.8,261.8,253,255.8,302.5,336.1,301.2,328.2,387,400.9,432.9,438.9,395.3,375.7
Private,"Agriculture, forestry, fishing, and hunting","Forestry, fishing, and related activities",38.4,41.9,45.3,39.2,38.9,39.4,41.3,45.3,46.6,47.7,44.5,44.4,40.8,44.5,47.7,46.4,48.2,55,52.6,52.4
Private,Mining,Oil and gas extraction,97.8,72.1,85.1,144.9,142.7,116.9,166.2,198.9,260.6,271,293.6,395.4,223.6,289.7,343.7,341.3,396.7,442.3,262.6,212.1
Private,Mining,"Mining, except oil and gas",55.7,54.8,52.6,54.3,54.4,54.2,56.9,67,83.9,99.4,103.6,116.5,104.4,114.7,135.9,133.5,125.8,123.2,107.1,98.6
Private,Mining,Support activities for mining,20.7,22.1,16.2,17.1,27.2,22.9,27.4,31.9,47.3,69.5,74.2,80.5,52.4,58.9,76.5,95.4,97,117.3,88,48
Private,Utilities,Utilities,254.2,255.8,302.6,360.7,432,319,336.3,344.5,408.2,410.1,438.2,490.4,389.3,423.5,400.8,366.5,392.6,429.2,405.4,391.1
Private,Construction,Construction,709.6,774.5,838.4,911.8,955.2,967.9,1035.1,1152.5,1280.1,1345,1329.4,1266,1090.4,1008.3,1008.6,1069.9,1139.7,1244.5,1355.5,1442
Private,Manufacturing - Durable,Wood products,87.6,90.9,97.3,93.2,86.4,88.8,91,104.3,113.1,112.9,101.1,87.5,64.4,70.3,70.9,78.8,89.3,96,98.9,104.3
Private,Manufacturing - Durable,Nonmetallic mineral products,84.9,90.9,94.5,95.8,93.4,94.3,95.6,101.5,112.3,124.9,126.7,113.5,88.9,90.8,92.4,99,105.9,113.4,119.8,123.8
Private,Manufacturing - Durable,Primary metals,167,165.3,155.5,154.7,136,138.5,136.8,181.2,201.8,232.5,255.5,279.6,166,234.1,279.9,267.6,262.1,265.3,225.9,210.1
