Year,Title,Legislation,Source
1790,"Act of March 26, 1790",1 Statutes-at-Large 103,USCIS
1795,"Act of January 29, 1795",1 Statutes-at-Large 414,USCIS
1798,"Naturalization Act of June 18, 1798",1 Statutes-at-Large 566,USCIS
1798,"Aliens Act of June 25, 1798",1 Statutes-at-Large 570,USCIS
1798,"Alien Enemy Act of July 6, 1798",1 Statutes-at-Large 577,USCIS
1802,"Naturalization Act of April 14, 1802",2 Statutes-at-Large 153,USCIS
1819,"Steerage Act of March 2, 1819",3 Statutes-at-Large 488,USCIS
1824,"Act of May 26, 1824",4 Statutes-at-Large 36,USCIS
1847,"Act of February 22, 1847",9 Statutes-at-Large 127,USCIS
1855,"Passenger Act of March 3, 1855",10 Statutes-at-Large 715,USCIS
1862,"Act of February 19, 1862",12 Statutes-at-Large 340,USCIS
1864,"Act of July 4, 1864",13 Statutes-at-Large 385,USCIS
1870,"Naturalization Act of July 14, 1870",16 Statutes-at-Large 254,USCIS
1875,"Act of March 3, 1875",18 Statutes-at-Large 477,USCIS
1882,"Chinese Exclusion Act of May 6, 1882",22 Statutes-at-Large 58,USCIS
1882,"Immigration Act of August 3, 1882",22 Statutes-at-Large 214,USCIS
1884,"Act of Apr 18, 1884",24 Statutes-at-Large 115,USNA
1885,"Act of February 26, 1885",23 Statutes-at-Large 332,USCIS
1887,"Act of February 23, 1887",24 Statutes-at-Large 414,USCIS
1887,"Act of March 3, 1887",24 Statutes-at-Large 476,USCIS
1888,"Act of October 19, 1888",25 Statutes-at-Large 566,USCIS
1891,"Immigration Act of March 3, 1891",26 Statutes-at-Large 1084,USCIS
1892,"Geary Act of May 5, 1892 ",25 Statutes-at-Large 25,USNA
1893,"Act of March 3, 1893",27 Statutes-at-Large 570,USCIS
1894,"Act of July 26, 1894 ",28 Statutes-at-Large 124,USNA
1902,"Act of April 29, 1902",32 Statutes-at-Large 176,USCIS
1903,"Act of February 14, 1903",32 Statutes-at-Large 825,USCIS
1903,"Immigration Act of March 3, 1903",32 Statutes-at-Large 1213,USCIS
1906,"Naturalization Act of June 29, 1906",34 Statutes-at-Large 596,USCIS
1907,"Immigration Act of February 20, 1907",34 Statutes-at-Large 898,USCIS
1910,"White Slave Traffic Act of June 25, 1910",36 Statutes-at-Large 825,USCIS
1913,"Act of March 4, 1913",37 Statutes-at-Large 737,USCIS
1917,"Immigration Act of February 5, 1917",39 Statutes-at-Large 874,USCIS
1918,"Act of May 22, 1918",40 Statutes-at-Large 559,USCIS
1921,"Quota Law of May 19, 1921",42 Statutes-at-Large 5,USCIS
1922,"Act of May 11, 1922",42 Statutes-at-Large 540,USCIS
1924,"Immigration Act of May 26, 1924",43 Statutes-at-Large 153,USCIS
1924,"Act of May 28, 1924",43 Statutes-at-Large 240,USCIS
1928,"Act of March 31, 1928",45 Statutes-at-Large 400,USCIS
1928,"Act of April 2, 1928",45 Statutes-at-Large 401,USCIS
1929,"Registry Act of March 2, 1929",45 Statutes-at-Large 1512,USCIS
1929,"Act of March 4, 1929",45 Statutes-at-Large 1551,USCIS
1931,"Act of February 18, 1931",46 Statutes-at-Large 1171,USCIS
1932,"Act of March 17, 1932",47 Statutes-at-Large 67,USCIS
1932,"Act of May 2, 1932",47 Statutes-at-Large 145,USCIS
1932,"Act of July 1, 1932",47 Statutes-at-Large 524,USCIS
1932,"Act of July 11, 1932",47 Statutes-at-Large 656,USCIS
1934,"Equal Nationality Act of May 24, 1934 ",48 Statutes-at-Large 787,USNA
1935,"Act of June 15, 1935",49 Statutes-at-Large 376,USCIS
1936,"Act of June 25, 1936",49 Statutes-at-Large 1917,USNA
1937,"Act of May 14, 1937",50 Statutes-at-Large 164,USCIS
1940,"Nationality Act of October 14, 1940",54 Statutes-at-Large 1137,USNA
1940,"Act of June 14, 1940",54 Statutes-at-Large 230,USCIS
1940,"Alien Registration Act of June 28, 1940",54 Statutes-at-Large 670,USCIS
1940,"Act of July 1, 1940",54 Statutes-at-Large 711,USCIS
1941,"Public Safety Act of June 20, 1941",55 Statutes-at-Large 252,USCIS
1942,"Act of December 8, 1942",56 Statutes-at-Large 1044,USCIS
1943,"Chinese Exclusion Repeal Act og December 17, 1943",54 Statutes-at-Large 600,USCIS
1943,"Act of April 29, 1943",57 Statutes-at-Large 70,USCIS
1943,"Act of December 17, 1943",57 Statutes-at-Large 600,USCIS
1944,"Act of February 14, 1944",58 Statutes-at-Large 11,USCIS
1945,"War Brides Act of December 28, 1945",59 Statutes-at-Large 659,USCIS
1946,"G.I. Fiancees Act of June 29, 1946",60 Statutes-at-Large 339,USCIS
1946,"Act of July 2, 1946",60 Statutes-at-Large 416,USCIS
1946,"Act of August 9, 1946",60 Statutes-at-Large 975,USCIS
1947,"Act of June 28, 1947",61 Statutes-at-Large 190,USCIS
1948,"Act of May 25, 1948",62 Statutes-at-Large 268,USCIS
1948,"Displaced Persons Act of June 25, 1948",62 Statutes-at-Large 1009,USCIS
1948,"Act of July 1, 1948",62 Statutes-at-Large 1206,USCIS
1949,"Central Intelligence Agency Act of June 20, 1949",63 Statutes-at-Large 208,USCIS
1949,"Agricultural Act of October 31, 1949",63 Statutes-at-Large 1051,USCIS
1950,"Act of June 16, 1950",64 Statutes-at-Large 219,USCIS
1950,"Act of June 30, 1950",64 Statutes-at-Large 306,USCIS
1950,"Act of August 19, 1950",64 Statutes-at-Large 464,USCIS
1950,"Internal Security Act of September 22, 1950",64 Statutes-at-Large 987,USCIS
1951,"Act of March 28, 1951",65 Statutes-at-Large 28,USCIS
1951,"Act of July 12, 1951",65 Statutes-at-Large 119,USCIS
1952,"Act of March 20, 1952",66 Statutes-at-Large 26,USCIS
1952,"Act of April 9, 1952",66 Statutes-at-Large 50,USCIS
1952,"Immigration and Nationality Act of June 27, 1952",66 Statutes-at-Large 163,USCIS
1954,"Act of September 3, 1954",68 Statutes-at-Large 1145,USCIS
1954,"Act of September 3, 1954",68 Statutes-at-Large 1146,USCIS
1957,"Act of July 24, 1957",71 Statutes-at-Large 311,USCIS
1957,"Act of August 30, 1957",71 Statutes-at-Large 518,USCIS
