Category,Form,Description,Status,2017,2016,2015,2014,2013,2012,2011,2010,2009
Citizenship and Nationality,N-300,Declaration of Intent,Approved,39,37,17,25,56,56,,,
Citizenship and Nationality,N-300,Declaration of Intent,Received,10,31,  ,22,43,66,,,
Citizenship and Nationality,N-336,Requests for Hearing,Approved,"2,115","2,706","2,367","2,357","3,190",2516,,,
Citizenship and Nationality,N-336,Requests for Hearing,Received,0,"4,851","4,300","4,307","4,452",4528,,,
Citizenship and Nationality,N-400,Military Naturalization,Approved,"7,219","8,606","7,521","8,970","9,659",8184,,,
Citizenship and Nationality,N-400,Non-Military Naturalization,Approved,"707,806","744,166","723,164","645,539","886,108",754558,,,
Citizenship and Nationality,N-400,Military Naturalization,Received,"11,199","8,678","9,686","9,874","10,195",9434,,,
Citizenship and Nationality,N-400,Non-Military Naturalization,Received,"975,213","963,475","773,289","763,950","762,438",889728,,,
Citizenship and Nationality,N-470,Preserve Residence for Naturalization,Approved,116,158,177,296,193,225,,,
Citizenship and Nationality,N-470,Preserve Residence for Naturalization,Received,200,202,285,311,354,393,,,
Citizenship and Nationality,N-565,Replace Naturalization/Citizenship Certificates,Approved,"21,754","28,889","23,842","14,960","32,944",  ,,,
Citizenship and Nationality,N-565,Replace Naturalization/Citizenship Certificates,Received,"27,226","27,486","27,612","27,732","27,204",  ,,,
Citizenship and Nationality,N-600/600K,Recognition of Citizenship Applications,Approved,"62,375","64,795","54,329","57,552","72,539",50927,,,
Citizenship and Nationality,N-600/600K,Recognition of Citizenship Applications,Received,"67,711","71,236","63,312","60,863","66,982",66099,,,
Citizenship and Nationality,N-644,Posthumous Naturalization,Approved,0,,0,0,4,2,,,
Citizenship and Nationality,N-644,Posthumous Naturalization,Received,0,0,0,0,3,4,,,
Citizenship and Nationality,N-648,Disability Exception Applications,Approved,"8,346","11,253","12,997","15,326","20,894",  ,,,
Citizenship and Nationality,N-648,Disability Exception Applications,Received,"4,138","8,496","10,408","14,206","20,683",  ,,,
Employment Based,I-129,Nonimmigrant Worker Petitions,Approved,"498,055","480,161","402,930","435,039","407,898","85,273","84,081","86,567","87,570"
Employment Based,I-129,Nonimmigrant Worker Petitions,Received,"526,435","509,636","483,643","432,987","404,520","93,152","93,244","102,343","96,205"
Employment Based,I-140,Immigrant Petitions for Workers,Approved,"126,173","130,761","99,477","62,295","78,090",69788,,,
Employment Based,I-140,Immigrant Petitions for Workers,Received,"139,566","147,581","98,895","81,658","69,714",72964,,,
Employment Based,I-485,Employment-Based Adjustments,Approved,"114,480","110,406","117,416","126,939","135,999",124808,,,
Employment Based,I-485,Employment-Based Adjustments,Received,"139,555","128,858","123,239","122,532","106,571",140107,,,
Employment Based,I-526,Petitions by Entrepreneurs,Approved,"11,321","7,632","8,683","5,115","3,516",3677,,,
Employment Based,I-526,Petitions by Entrepreneurs,Received,"12,165","14,147","14,298","10,928","6,346",6041,,,
Employment Based,I-765,Employment Authorization Documents,Approved,"2,141,019","1,833,171","2,093,711","1,213,364","1,535,892",1213993,,,
Employment Based,I-765,Employment Authorization Documents,Received,"2,326,431","2,111,906","2,030,896","1,370,404","1,781,576",1238930,,,
Employment Based,I-829,Remove Conditions on Entrepreneur,Approved,"2,589","1,758","1,067","1,603",627,736,,,
Employment Based,I-829,Remove Conditions on Entrepreneur,Received,"2,625","3,474","2,767","2,516","1,217",712,,,
Employment Based,I-924/924A,Regional Center Applications,Approved,309,265,262,294,118,  ,,,
Employment Based,I-924/924A,Regional Center Applications,Received,"1,122",436,803,642,436,  ,,,
Family Based,I-129F,Fiancée Petitions,Approved,"32,998","47,898","50,648","43,563","49,154",37871,,,
Family Based,I-129F,Fiancée Petitions,Received,"49,831","52,885","49,066","48,394","45,360",45471,,,
Family Based,I-130,Immediate and Preference Relatives,Approved,"540,810","692,219","752,913","846,533","445,123",553060,,,
Family Based,I-130,Immediate and Preference Relatives,Received,"914,484","869,292","768,641","788,633","545,646",722863,,,
Family Based,I-485,Family-Based Adjustments,Approved,"275,931","278,523","249,732","248,850","293,565",257383,,,
Family Based,I-485,Family-Based Adjustments,Received,"365,716","338,013","298,398","280,290","276,975",272968,,,
Family Based,I-600/600A,Orphan Petitions,Approved,"2,430","3,407","3,265","6,920","5,171",5754,,,
Family Based,I-600/600A,Orphan Petitions,Received,"2,922","3,200","3,502","7,743","5,011",6316,,,
Family Based,I-601A,Provisional Waivers,Approved,"68,636","33,291","34,396","27,433","4,482",  ,,,
Family Based,I-601A,Provisional Waivers,Received,"65,729","51,213","48,734","37,592","19,085",  ,,,
Family Based,I-751,Remove Conditions on Residence,Approved,"89,001","134,288","147,520","154,983","231,778",139168,,,
Family Based,I-751,Remove Conditions on Residence,Received,"166,431","144,648","165,785","178,359","171,651",164234,,,
Family Based,I-800/800A,Convention Country Adoptions,Approved,"7,379","8,218","8,321","8,161","7,588",8463,,,
Family Based,I-800/800A,Convention Country Adoptions,Received,"7,577","8,353","8,330","8,031","7,880",8416,,,
Humanitarian,I-485,Asylum Adjustments,Approved,"25,888","38,077","33,618","37,946","45,618",45436,,,
Humanitarian,I-485,Refugee Adjustments,Approved,"63,593","61,123","71,501","56,032","55,292",79951,,,
Humanitarian,I-485,Indo Chinese Adjustments ,Approved,0,,  ,  ,  ,31,,,
Humanitarian,I-485,Cuban Adjustment Act,Approved,"54,234","53,547","42,437","38,727","28,077",25857,,,
Humanitarian,I-485,Asylum Adjustments,Received,"33,235","35,857","38,378","41,977","43,785",39583,,,
Humanitarian,I-485,Refugee Adjustments,Received,"77,416","66,220","68,420","70,203","57,594",62696,,,
Humanitarian,I-485,Indo Chinese Adjustments ,Received,0,0,  ,  ,  ,0,,,
Humanitarian,I-485,Cuban Adjustment Act,Received,"82,213","61,273","46,337","46,127","39,120",33681,,,
