,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category and Form No.,,Description,Forms by Status and Period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1st Quarter1,,,,2nd Quarter1,,,,3rd Quarter1,,,,4th Quarter1,,,,Fiscal Year 2015 To-Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,Denied4,Pending5,Forms Received2,Approved3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total - All Forms,,," 1,751,337 "," 1,663,484 "," 149,856 "," 3,211,445 "," 2,209,198 "," 1,777,966 "," 141,957 "," 3,522,079 "," 1,970,255 "," 2,053,416 "," 146,339 "," 3,403,377 "," 1,719,685 "," 1,774,521 "," 144,399 "," 3,276,182 "," 7,650,475 "," 7,269,387 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-129F,Fiancée Petitions," 11,230 "," 11,768 "," 1,933 "," 18,506 "," 12,175 "," 9,952 "," 1,684 "," 19,799 "," 13,222 "," 12,932 "," 1,626 "," 19,438 "," 12,439 "," 15,996 "," 2,010 "," 14,543 "," 49,066 "," 50,648 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-130,Immediate and Preference Relatives," 181,769 "," 188,410 "," 20,440 "," 784,323 "," 183,201 "," 196,576 "," 22,469 "," 752,487 "," 207,207 "," 190,185 "," 18,464 "," 763,914 "," 196,464 "," 177,742 "," 16,530 "," 774,748 "," 768,641 "," 752,913 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-485,Family-Based Adjustments," 71,452 "," 47,847 "," 7,520 "," 183,385 "," 71,400 "," 58,697 "," 8,203 "," 188,987 "," 78,921 "," 67,721 "," 7,730 "," 196,837 "," 76,625 "," 75,467 "," 7,564 "," 194,046 "," 298,398 "," 249,732 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-600/600A,Orphan Petitions, 947 , 958 , 157 , 626 , 930 , 821 , 211 , 523 , 844 , 791 , 141 , 462 , 781 , 695 , 129 , 441 ," 3,502 "," 3,265 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I-601A,Provisional Waivers," 13,035 "," 9,232 "," 3,625 "," 12,597 "," 11,097 "," 8,037 "," 3,779 "," 12,012 "," 12,410 "," 8,578 "," 3,204 "," 12,888 "," 12,192 "," 8,549 "," 2,474 "," 14,447 "," 48,734 "," 34,396 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
